,Diversity,q
0,1.5891490806439972e-05,1.0
1,3.0019151399827515e-05,1.0
2,3.939713095358126e-05,1.0
3,3.624452194359147e-05,1.0
4,2.4141920051816412e-05,1.0
5,3.49191500008008e-05,1.0
6,3.5016283007806654e-05,1.0
7,9.2520659776658e-06,1.0
8,2.7074925780672882e-05,1.0
9,2.1848799935023804e-05,1.0
10,4.166217427577892e-05,1.0
11,4.010601276832932e-05,1.0
12,2.3533444481505817e-05,1.0
13,2.553260642395337e-05,1.0
14,3.06606575239985e-05,1.0
15,7.932811051396533e-05,1.0
16,2.017997968434245e-05,1.0
17,2.6051029800706775e-05,1.0
18,6.0232197502175274e-05,1.0
19,2.4110785642228226e-05,1.0
20,3.272330149625143e-05,1.0
21,3.617912140209771e-05,1.0
22,4.359772105641421e-05,1.0
23,6.407736109345982e-05,1.0
24,3.312018825777656e-05,1.0
25,5.6781971374444196e-05,1.0
26,3.1128850889196996e-05,1.0
27,3.086280674137234e-05,1.0
28,3.0817905998703855e-05,1.0
29,2.7615491878100278e-05,1.0
30,2.9048425022314002e-05,1.0
31,2.100847882300874e-05,1.0
32,4.0251436606723856e-05,1.0
33,3.860458766171149e-05,1.0
34,2.0999886008857864e-05,1.0
35,3.5296316542611786e-05,1.0
36,3.247367807470217e-05,1.0
37,3.190662997865187e-05,1.0
38,3.726802272386884e-05,1.0
39,5.9032823026254875e-05,1.0
40,4.720189253778843e-05,1.0
41,4.382869012206503e-05,1.0
42,2.466259042624992e-05,1.0
43,3.1145714623479696e-05,1.0
44,3.7204933951027814e-05,1.0
45,4.340611139031168e-05,1.0
46,1.7047375615095926e-05,1.0
47,3.197411916237817e-05,1.0
48,4.0719941855888e-05,1.0
49,2.48956629611854e-05,1.0
50,6.938542721615419e-05,1.0
51,3.162984828144978e-05,1.0
52,2.1717854905541506e-05,1.0
53,2.1613876449467114e-05,1.0
54,4.662635609133594e-05,1.0
55,2.0367047944558632e-05,1.0
56,6.820799567161119e-05,1.0
57,3.4202694658778656e-05,1.0
58,4.470173494924883e-05,1.0
59,4.401273235055887e-05,1.0
60,3.1355152746644076e-05,1.0
61,2.0389866464712703e-05,1.0
62,2.698127468595541e-05,1.0
63,2.6352161108949218e-05,1.0
64,2.7780681294996505e-05,1.0
65,2.725838976279469e-05,1.0
66,2.4599474705698754e-05,1.0
67,4.1241868012666905e-05,1.0
68,4.799836013075346e-05,1.0
69,5.602180884238456e-05,1.0
70,2.933783784941218e-05,1.0
71,6.856979394840286e-05,1.0
72,3.993754594726219e-05,1.0
73,3.561074119205539e-05,1.0
74,2.55723337324094e-05,1.0
75,3.2753304280467775e-05,1.0
76,6.164162415115028e-05,1.0
77,2.8009693471162963e-05,1.0
78,2.0810860659649816e-05,1.0
79,6.677902855904421e-05,1.0
80,3.649901927482486e-05,1.0
81,4.631742299543368e-05,1.0
82,2.2604328389053074e-05,1.0
83,3.2576027278565956e-05,1.0
84,2.3988206162757433e-05,1.0
85,4.3978078825226116e-05,1.0
86,5.507996302811539e-05,1.0
87,2.2404148563246656e-05,1.0
88,2.7458210587570125e-05,1.0
89,2.4202296362069478e-05,1.0
90,1.6029673988087866e-05,1.0
91,1.5379928734843713e-05,1.0
92,3.4114011115092115e-05,1.0
93,4.432398068675132e-05,1.0
94,3.08548238551832e-05,1.0
95,4.8293239627825266e-05,1.0
96,1.864316921136354e-05,1.0
97,1.9662624044735733e-05,1.0
98,3.602541828647403e-05,1.0
99,2.468169224116233e-05,1.0
100,2.297811995699328e-05,0.8
101,5.0719004822514255e-05,0.8
102,2.475309818685695e-05,0.8
103,5.32943704791525e-05,0.8
104,2.479338980697866e-05,0.8
105,4.321503565173941e-05,0.8
106,5.357397302240226e-05,0.8
107,5.1587935728958794e-05,0.8
108,2.627563744550958e-05,0.8
109,1.7852151662853755e-05,0.8
110,4.698631938950615e-05,0.8
111,2.3659325787102545e-05,0.8
112,3.594457166868546e-05,0.8
113,4.2726003493524084e-05,0.8
114,1.3408768798074352e-05,0.8
115,2.9886404596364463e-05,0.8
116,4.481012540230387e-05,0.8
117,4.3557469378529056e-05,0.8
118,1.9055526126128978e-05,0.8
119,5.248339952328628e-05,0.8
120,3.307031691110636e-05,0.8
121,5.322925406660803e-05,0.8
122,2.5251865656945085e-05,0.8
123,2.0282516075462875e-05,0.8
124,3.70926763916528e-05,0.8
125,2.728108640045862e-05,0.8
126,4.175774143901273e-05,0.8
127,4.422841484574485e-05,0.8
128,2.2055875823985504e-05,0.8
129,3.101201961623472e-05,0.8
130,5.028310161207805e-05,0.8
131,2.146997929431305e-05,0.8
132,5.097764535313683e-05,0.8
133,2.717253665355086e-05,0.8
134,2.174031920824062e-05,0.8
135,3.30762117732373e-05,0.8
136,2.3478302610962873e-05,0.8
137,3.023808222356187e-05,0.8
138,1.326213146263951e-05,0.8
139,1.26469134825705e-05,0.8
140,2.2117928004670083e-05,0.8
141,2.5461379708964387e-05,0.8
142,1.7871124268173682e-05,0.8
143,4.354511694372492e-05,0.8
144,4.0514770157583756e-05,0.8
145,5.80297736489598e-05,0.8
146,3.4048203891260615e-05,0.8
147,6.669359789337457e-05,0.8
148,1.919566746849281e-05,0.8
149,3.188898359058609e-05,0.8
150,2.0667382549464322e-05,0.8
151,3.5732771712587316e-05,0.8
152,2.8830544761466866e-05,0.8
153,7.393224054263467e-06,0.8
154,3.7634663258275083e-05,0.8
155,3.776635236069288e-05,0.8
156,1.9823719744284266e-05,0.8
157,3.5511551040903424e-05,0.8
158,3.198657126166962e-05,0.8
159,3.749570690569832e-05,0.8
160,3.4264580434539716e-05,0.8
161,4.0104874183873714e-05,0.8
162,5.662218695249931e-05,0.8
163,2.8217491743107474e-05,0.8
164,5.2767895037593063e-05,0.8
165,3.822355800231532e-05,0.8
166,4.57386905661743e-05,0.8
167,2.1947890588900378e-05,0.8
168,2.527898803389723e-05,0.8
169,3.683694341699608e-05,0.8
170,3.491277135709089e-05,0.8
171,1.8591711326766636e-05,0.8
172,5.533817373353745e-05,0.8
173,3.3799074124041316e-05,0.8
174,4.1004226927063474e-05,0.8
175,2.0086238155401203e-05,0.8
176,5.6860086729017706e-05,0.8
177,1.923782216607561e-05,0.8
178,3.3500812868209403e-05,0.8
179,4.3961310732991964e-05,0.8
180,2.150756668935487e-05,0.8
181,7.965148276511804e-05,0.8
182,3.661808152953507e-05,0.8
183,6.0783284307400705e-05,0.8
184,3.28999507889596e-05,0.8
185,2.046611645386226e-05,0.8
186,4.305216133739962e-05,0.8
187,4.1147709500215046e-05,0.8
188,3.5424230567528725e-05,0.8
189,3.121515717337466e-05,0.8
190,1.1798943278008847e-05,0.8
191,5.072407376147396e-05,0.8
192,3.725397505064916e-05,0.8
193,9.196585042513093e-05,0.8
194,3.1229506429470546e-05,0.8
195,4.7733330705578026e-05,0.8
196,2.4523692066880944e-05,0.8
197,4.641080873462189e-05,0.8
198,2.7558780091737513e-05,0.8
199,4.212886886267816e-05,0.8
200,4.228409528225311e-05,0.6
201,4.554723728122001e-05,0.6
202,8.726714217840707e-05,0.6
203,4.704490714601173e-05,0.6
204,3.556531088887326e-05,0.6
205,4.006624665866748e-05,0.6
206,2.8041798007317342e-05,0.6
207,6.9367690439633e-05,0.6
208,3.157741486126835e-05,0.6
209,6.732200342306964e-05,0.6
210,4.308916524138103e-05,0.6
211,1.948765413878947e-05,0.6
212,2.4550071759783923e-05,0.6
213,5.991824599721777e-05,0.6
214,3.874335645086141e-05,0.6
215,7.610361359408372e-05,0.6
216,2.7147377123294205e-05,0.6
217,1.7661840143843207e-05,0.6
218,2.4916088795165634e-05,0.6
219,5.879559228641075e-05,0.6
220,3.760834008748699e-05,0.6
221,5.5679546172028706e-05,0.6
222,4.4875421124536704e-05,0.6
223,7.825357482095125e-05,0.6
224,3.432208012786589e-05,0.6
225,5.9942704516433374e-05,0.6
226,4.849550484335566e-05,0.6
227,2.8760589618642023e-05,0.6
228,4.2667915394848596e-05,0.6
229,4.485263862104268e-05,0.6
230,7.11013188359206e-05,0.6
231,5.12106627556526e-05,0.6
232,2.0956442981764084e-05,0.6
233,2.88036838664058e-05,0.6
234,5.127502623992286e-05,0.6
235,6.40872115555715e-05,0.6
236,4.829486409853906e-05,0.6
237,2.0989724701746064e-05,0.6
238,5.0325110104045696e-05,0.6
239,3.19973285707695e-05,0.6
240,4.538507496101089e-05,0.6
241,3.576405841002771e-05,0.6
242,6.950577136612891e-05,0.6
243,3.973606342243443e-05,0.6
244,3.2992411139362496e-05,0.6
245,3.922935015421632e-05,0.6
246,4.2103092714381325e-05,0.6
247,4.9198804519147223e-05,0.6
248,5.94994944365805e-05,0.6
249,4.775955876316621e-05,0.6
250,2.355542956889907e-05,0.6
251,8.88244565420397e-05,0.6
252,4.061019498363996e-05,0.6
253,7.634720202445987e-05,0.6
254,4.126441975681865e-05,0.6
255,5.201029141449744e-05,0.6
256,3.571085325240602e-05,0.6
257,4.567366681808529e-05,0.6
258,9.896101640736476e-05,0.6
259,3.851166509628215e-05,0.6
260,2.7899829180098198e-05,0.6
261,3.5784219565688075e-05,0.6
262,3.589781921012069e-05,0.6
263,3.603686308683221e-05,0.6
264,3.785323426771822e-05,0.6
265,6.736103655613549e-05,0.6
266,4.723566753609279e-05,0.6
267,4.050203507255533e-05,0.6
268,1.7761683861010742e-05,0.6
269,2.8768208499593123e-05,0.6
270,4.1141424425636534e-05,0.6
271,1.9168524624460417e-05,0.6
272,2.729218204319295e-05,0.6
273,4.662792043990174e-05,0.6
274,3.885291221200677e-05,0.6
