,Diversity,q
0,8.594132334665264e-05,1.0
1,6.630378088087748e-05,1.0
2,6.902625045538968e-05,1.0
3,9.215721276220501e-05,1.0
4,0.00013727861492860934,1.0
5,9.146557991788835e-05,1.0
6,8.679537534486992e-05,1.0
7,0.00013451395782247767,1.0
8,0.00011784346644585589,1.0
9,5.20359187736401e-05,1.0
10,6.577346635304088e-05,1.0
11,9.110670214509503e-05,1.0
12,5.712409818571466e-05,1.0
13,0.00010658004386789787,1.0
14,5.3555032690771685e-05,1.0
15,5.790373613949503e-05,1.0
16,6.709249687806137e-05,1.0
17,9.64807934041466e-05,1.0
18,0.00016085992442417914,1.0
19,0.00013139541465518386,1.0
20,5.451416474760602e-05,1.0
21,0.00011406488313508089,1.0
22,0.00018451533810169375,1.0
23,0.00017634631877711738,1.0
24,6.782495774273651e-05,1.0
25,0.00016003749343496742,1.0
26,0.00013313639009346936,1.0
27,6.02365614627143e-05,1.0
28,0.0001369479713818611,1.0
29,0.00010401384013671547,1.0
30,9.448878058221267e-05,1.0
31,9.880416437396641e-05,1.0
32,0.0001484909764879431,1.0
33,3.6836358313966664e-05,1.0
34,3.115840398796075e-05,1.0
35,6.812460642786962e-05,1.0
36,8.672664078611788e-05,1.0
37,5.7459552995455315e-05,1.0
38,0.0001171199160658567,1.0
39,6.558676348234625e-05,1.0
40,7.360680762401282e-05,1.0
41,4.855184510516762e-05,1.0
42,5.276385600003992e-05,1.0
43,5.9867359039614115e-05,1.0
44,7.802575322420111e-05,1.0
45,0.00018824448820227348,1.0
46,0.0001720923633859053,1.0
47,7.753752609162392e-05,1.0
48,6.99030667785412e-05,1.0
49,5.0420386408402286e-05,1.0
50,0.000107803610581075,1.0
51,0.00011793002173607086,1.0
52,0.00021181251357242886,1.0
53,0.00010037840007112024,1.0
54,4.674621084436559e-05,1.0
55,7.395176651688075e-05,1.0
56,6.436251810738487e-05,1.0
57,0.00015995957820333953,1.0
58,4.459645864708832e-05,1.0
59,8.75921761481247e-05,1.0
60,4.212791729713003e-05,1.0
61,0.00013243750278358916,1.0
62,6.378595421055482e-05,1.0
63,4.777094349362139e-05,1.0
64,6.534832068957166e-05,1.0
65,0.00010829014762770854,1.0
66,7.385882739388131e-05,1.0
67,7.102087937678979e-05,1.0
68,0.00015182638686838247,1.0
69,4.545182305706899e-05,1.0
70,0.00011920954719791529,1.0
71,0.00010368090159642161,1.0
72,2.7413664794925062e-05,1.0
73,6.2002764818238e-05,1.0
74,8.32564345827167e-05,1.0
75,7.698667724136539e-05,1.0
76,5.570097780630874e-05,1.0
77,8.528275311341899e-05,1.0
78,0.00010767382993122323,1.0
79,9.327022128914476e-05,1.0
80,5.955596001321313e-05,1.0
81,7.357033553046645e-05,1.0
82,0.00010894943417247266,1.0
83,9.737879807315546e-05,1.0
84,7.377006620946294e-05,1.0
85,0.00012380066400607105,1.0
86,0.00012278241482028594,1.0
