,Diversity,size
0,0.32268853395419966,100
1,0.35461864411291705,100
2,0.29461529461297653,100
3,0.262999013248457,100
4,0.3013394990648053,100
5,0.24205201655462416,100
6,0.22512134885668597,100
7,0.38091630864525877,100
8,0.25155470735540986,100
9,0.2856144532466235,100
10,0.30719945569172374,100
11,0.22220683508195152,100
12,0.3517089387783615,100
13,0.26161376586004875,100
14,0.26923058265012517,100
15,0.25572649170100076,100
16,0.2862017388551053,100
17,0.3431978776531555,100
18,0.31957084153732357,100
19,0.2697149991579686,100
20,0.2883705811517595,100
21,0.2340888533938222,100
22,0.3196022991140887,100
23,0.2737891692677377,100
24,0.34622668107160953,100
25,0.298464111803297,100
26,0.24235312213502255,100
27,0.24712787628041358,100
28,0.29760948308876833,100
29,0.2686630591988182,100
30,0.2849258929536149,100
31,0.28664972773500336,100
32,0.23244329422274365,100
33,0.2715214937998089,100
34,0.2813488795891471,100
35,0.3483858601646016,100
36,0.3224794464720344,100
37,0.29058541865262294,100
38,0.249977028333319,100
39,0.33893431829081405,100
40,0.2552404539905324,100
41,0.30408213733996325,100
42,0.273849555905424,100
43,0.3074003491037841,100
44,0.2477338653662108,100
45,0.24179689575629923,100
46,0.2889665391873658,100
47,0.2972958151224637,100
48,0.2893469266322502,100
49,0.2555073564429229,100
50,0.22529744852888287,100
51,0.2899859845183026,100
52,0.272503081347789,100
53,0.3245902890809548,100
54,0.24090079170864212,100
55,0.29596065994059023,100
56,0.2799157957593588,100
57,0.31627617127127045,100
58,0.27265561727035903,100
59,0.31102563237971437,100
60,0.31034964987383534,100
61,0.26358686533189085,100
62,0.30148630183052516,100
63,0.26728988270114945,100
64,0.29981904523498487,100
65,0.2797478531128197,100
66,0.3018877330974908,100
67,0.3096265270479676,100
68,0.2691419937484108,100
69,0.2904158957341009,100
70,0.25576779274997713,100
71,0.28084493948300954,100
72,0.2770232939528276,100
73,0.2954219973498166,100
74,0.25615191720553426,100
75,0.2913851667397523,100
76,0.30777985148782117,100
77,0.3247535440592981,100
78,0.2619253677611609,100
79,0.30174400684392955,100
80,0.30622260735220297,100
81,0.2677609589791811,100
82,0.28460137230474897,100
83,0.29161658719215244,100
84,0.2771717635137054,100
85,0.31690776868360865,100
86,0.3281925369569089,100
87,0.27629197680600925,100
88,0.2661296628278833,100
89,0.3041938512902546,100
90,0.2536990436871659,100
91,0.29591235613536443,100
92,0.26310190797078425,100
93,0.273804019887219,100
94,0.273660951355491,100
95,0.2581268493314489,100
96,0.31176159983276974,100
97,0.2880793590077003,100
98,0.32071850969192556,100
99,0.254957763824826,100
100,0.2812788574438788,200
101,0.25561718639302194,200
102,0.28246753583032613,200
103,0.23709040173498977,200
104,0.2846937978242512,200
105,0.29964218667796844,200
106,0.2874728928948737,200
107,0.3069637964911951,200
108,0.29874048910383366,200
109,0.29143284158658916,200
110,0.2639768081899801,200
111,0.293833388712707,200
112,0.2415847309625369,200
113,0.28772883923335213,200
114,0.2839815620228788,200
115,0.20594058379705824,200
116,0.31534065696258684,200
117,0.2649401015248889,200
118,0.27109026392143726,200
119,0.24956453972789638,200
120,0.31802080139222655,200
121,0.26708700252489187,200
122,0.2773677925225034,200
123,0.27983202404812746,200
124,0.23461825806371261,200
125,0.28339815615109365,200
126,0.2624339248080532,200
127,0.2962197578423498,200
128,0.3144468672322392,200
129,0.32431277704779,200
130,0.26230748698867895,200
131,0.26122220941114416,200
132,0.28807512547271935,200
133,0.23992224088817668,200
134,0.26089263758777226,200
135,0.2552680431840092,200
136,0.31547688006917635,200
137,0.28103459307974626,200
138,0.2621696371987029,200
139,0.3037010744420618,200
140,0.28203721413772787,200
141,0.24870503338707334,200
142,0.25639226567757123,200
143,0.27519174460260676,200
144,0.29400643027788703,200
145,0.3034006194726353,200
146,0.2931432033578305,200
147,0.3306957675040436,200
148,0.27206062011560034,200
149,0.22174422331879282,200
150,0.28292351430974316,200
151,0.2917268134167665,200
152,0.23973808183560869,200
153,0.251664344207568,200
154,0.29904471818646833,200
