,Diversity,q
0,6.549404580266839e-05,1.0
1,7.585294669210808e-05,1.0
2,2.4250066874776658e-05,1.0
3,3.788861963191345e-05,1.0
4,3.945871544890991e-05,1.0
5,0.00011729458165145442,1.0
6,4.553171002608818e-05,1.0
7,8.377645151400558e-05,1.0
8,4.216450993327966e-05,1.0
9,6.393271217066781e-05,1.0
10,5.1106541456550265e-05,1.0
11,8.574211346220757e-05,1.0
12,2.9537588527627018e-05,1.0
13,5.058133519891832e-05,1.0
14,4.5378410887256793e-05,1.0
15,5.559456438027335e-05,1.0
16,3.2729806932869155e-05,1.0
17,3.65518825922118e-05,1.0
18,3.687233858654126e-05,1.0
19,4.2018564093818995e-05,1.0
20,3.36161338570455e-05,1.0
21,5.372305447055976e-05,1.0
22,4.831642554641948e-05,1.0
23,3.8285505709060975e-05,1.0
24,2.2611432758548907e-05,1.0
25,4.863542936868588e-05,1.0
26,9.025127721887391e-05,1.0
27,1.7388378544007467e-05,1.0
28,5.188809434217702e-05,1.0
29,3.6795573381290726e-05,1.0
30,3.9893208971037874e-05,1.0
31,5.7824338789255975e-05,1.0
32,5.8864871476368585e-05,1.0
33,2.8731641771160286e-05,1.0
34,5.673133707885795e-05,1.0
35,4.818967162742642e-05,1.0
36,5.476211836499337e-05,1.0
37,3.752845845230045e-05,1.0
38,4.4845711366286665e-05,1.0
39,4.3108768662907936e-05,1.0
40,4.6818918029212055e-05,1.0
41,8.307100894478239e-05,1.0
42,2.8521542603844658e-05,1.0
43,4.492255350867922e-05,1.0
44,3.777781751023041e-05,1.0
45,2.6552880269763968e-05,1.0
46,3.8078298057415666e-05,1.0
47,3.956336292525485e-05,1.0
48,1.5953880873979825e-05,1.0
49,3.3983114156038067e-05,1.0
50,6.125058023524299e-05,1.0
51,2.342214668719224e-05,1.0
52,6.911981333118247e-05,1.0
53,1.916482004154155e-05,1.0
54,3.847835191015418e-05,1.0
55,5.25650388217425e-05,1.0
56,5.2410879987087296e-05,1.0
