,Unnamed: 0,Diversity,Density
0,0,7.239091824143673e-05,0.1
1,1,7.075260207863786e-05,0.1
2,2,0.0001116752978921,0.1
3,3,8.234578474973768e-05,0.1
4,4,0.0001244446399551,0.1
5,5,8.61886070700023e-05,0.1
6,6,7.500262232298047e-05,0.1
7,7,0.0001399930833456,0.1
8,8,0.0001090630468548,0.1
9,9,6.642883146254043e-05,0.1
10,10,0.0001707395834694,0.1
11,11,5.3968950711317575e-05,0.1
12,12,4.864641319563917e-05,0.1
13,13,5.405861052936542e-05,0.1
14,14,0.000172768114922,0.1
15,15,7.119731718743084e-05,0.1
16,16,0.0001419137283148,0.1
17,17,0.0001711770059351,0.1
18,18,6.023137371419956e-05,0.1
19,19,7.857984196353498e-05,0.1
20,20,6.00851083610054e-05,0.1
21,21,0.0001889630839903,0.1
22,22,9.486604072238062e-05,0.1
23,23,9.032705119008555e-05,0.1
24,24,0.0001465832091326,0.1
25,25,0.0001193357887955,0.1
26,26,7.719717082032505e-05,0.1
27,27,6.110908847600104e-05,0.1
28,28,7.528557716863386e-05,0.1
29,29,9.836156481732648e-05,0.1
30,30,7.789925571533933e-05,0.1
31,31,9.378910201916416e-05,0.1
32,32,0.0001390569242202,0.1
33,33,9.662713291796232e-05,0.1
34,34,9.320261948308578e-05,0.1
35,35,0.0001054726481094,0.1
36,36,8.432333614458962e-05,0.1
37,37,7.168952679286199e-05,0.1
38,38,0.0001610700704929,0.1
39,39,9.367797644957376e-05,0.1
40,40,9.093904377333636e-05,0.1
41,41,8.325008523496641e-05,0.1
42,42,4.29751027423074e-05,0.1
43,43,5.7911937152472746e-05,0.1
44,44,5.012517891600879e-05,0.1
45,45,0.0001154643987573,0.1
46,46,5.04374818101496e-05,0.1
47,47,0.0001266679419618,0.1
48,48,0.0002000983696182,0.1
49,49,4.366396386336644e-05,0.1
50,50,0.0001883898762758,0.1
51,51,7.382513870358675e-05,0.1
52,52,0.0001806808995081,0.1
53,53,0.0001133039279432,0.1
54,54,5.875390118829768e-05,0.1
55,55,6.367885008104625e-05,0.1
56,56,9.810209559202392e-05,0.1
57,57,0.0001091344488652,0.1
58,58,0.000137836560472,0.1
59,59,0.0001284959850806,0.1
60,60,0.0001182140996398,0.1
61,61,7.58483847007603e-05,0.1
62,62,6.517256625623523e-05,0.1
63,63,0.0001284969209266,0.1
64,64,7.837846257483235e-05,0.1
65,65,7.758007117395442e-05,0.1
66,66,0.0001349103117157,0.1
67,67,8.804020251357192e-05,0.1
68,68,8.14820692791167e-05,0.1
69,69,0.0001777491335614,0.1
70,70,0.0001408304829691,0.1
71,71,5.909905646292055e-05,0.1
72,72,9.683813833826452e-05,0.1
73,73,7.008557462102432e-05,0.1
74,74,8.140460023414019e-05,0.1
75,75,5.38014641580223e-05,0.1
76,76,5.911152556616137e-05,0.1
77,77,8.482872829627605e-05,0.1
78,78,5.98397183159188e-05,0.1
79,79,6.200354841879259e-05,0.1
80,80,9.667372452762456e-05,0.1
81,81,0.0001343471300545,0.1
82,82,0.000125406265336,0.1
83,83,4.9700488567315885e-05,0.1
84,84,4.210879216584963e-05,0.1
85,85,0.000110162765843,0.1
86,86,9.87131451950259e-05,0.1
87,87,7.325100738031143e-05,0.1
88,88,0.0001274942347784,0.1
89,89,0.0002831103140705,0.1
90,90,9.132783046004082e-05,0.1
91,91,0.0002292414868242,0.1
92,92,6.454768805901741e-05,0.1
93,93,8.230289504796173e-05,0.1
94,94,4.646724589767427e-05,0.1
95,95,7.94653400559271e-05,0.1
96,96,6.2219332609465e-05,0.1
97,97,8.13119815347661e-05,0.1
98,98,5.631196263980609e-05,0.1
99,99,0.0001107030653425,0.1
100,100,0.0001061613498352,0.09
101,101,6.373462559344827e-05,0.09
102,102,0.0002625261013705,0.09
103,103,0.0006330347562388,0.09
104,104,0.0001279047654408,0.09
105,105,0.0002165779228411,0.09
106,106,0.0001458891260495,0.09
107,107,7.055539043868394e-05,0.09
108,108,9.938933954620832e-05,0.09
109,109,0.0001407722728318,0.09
110,110,0.0001055331942662,0.09
111,111,0.0003182967462264,0.09
112,112,7.61348029118726e-05,0.09
113,113,0.0003733949807674,0.09
114,114,0.000184143962968,0.09
115,115,6.534740813961103e-05,0.09
116,116,0.0001092754124486,0.09
117,117,0.0001165181898877,0.09
118,118,8.043578097154488e-05,0.09
119,119,0.0001114928115752,0.09
120,120,0.000115882916466,0.09
121,121,6.872042802575558e-05,0.09
122,122,0.000179378402738,0.09
123,123,8.275676651183644e-05,0.09
124,124,7.007277764988595e-05,0.09
125,125,3.698560008777113e-05,0.09
126,126,0.0002394402243257,0.09
127,127,0.0001203820915187,0.09
128,128,0.0001084966378028,0.09
129,129,0.0001919753617227,0.09
130,130,0.0001470712131076,0.09
131,131,0.0001693096619662,0.09
132,132,0.0001005946089513,0.09
133,133,0.0002442219981743,0.09
134,134,6.853657500067168e-05,0.09
135,135,0.0001135059102609,0.09
136,136,0.0001792171407838,0.09
137,137,0.0002135276185135,0.09
138,138,0.0002163900909715,0.09
139,139,0.0002399883214043,0.09
140,140,0.0002049773396752,0.09
141,141,0.0002638075252288,0.09
142,142,0.0001159375197035,0.09
143,143,0.0002235765482359,0.09
144,144,0.0001841204776352,0.09
145,145,0.0001196044444739,0.09
146,146,0.0001284691677355,0.09
147,147,0.0001811904303979,0.09
148,148,9.986334545795292e-05,0.09
149,149,0.000233399336412,0.09
150,150,0.0003338371559618,0.09
151,151,0.0003061391481771,0.09
152,152,0.0002810235791236,0.09
153,153,0.0001833804207851,0.09
154,154,0.0002197531715945,0.09
155,155,0.0001312814091213,0.09
156,156,0.0001090328486376,0.09
157,157,0.0002587002851133,0.09
158,158,7.405121980115162e-05,0.09
159,159,0.0001004722888709,0.09
160,160,0.0001476087669203,0.09
161,161,0.0001754509459499,0.09
162,162,0.0003754365122797,0.09
163,163,7.113000572525953e-05,0.09
164,164,0.0004303817653341,0.09
165,165,0.0002326679441811,0.09
166,166,0.0003250968971876,0.09
167,167,0.0004331260089954,0.09
168,168,0.0001420098990355,0.09
169,169,7.932677102328171e-05,0.09
170,170,0.0001267348195798,0.09
171,171,0.0001134333674108,0.09
172,172,0.0001970901207705,0.09
173,173,7.597810813524056e-05,0.09
174,174,0.0001360789961973,0.09
175,175,0.0001281791306279,0.09
176,176,0.0001335100155548,0.09
177,177,0.000117300554604,0.09
178,178,0.0001219736137657,0.09
179,179,0.0001258382339676,0.09
180,180,7.82050481125264e-05,0.09
181,181,0.0003001581248056,0.09
182,182,9.584014719112455e-05,0.09
183,183,5.821590205456207e-05,0.09
184,184,6.716086628756393e-05,0.09
185,185,0.0001196568866036,0.09
186,186,7.602738905053741e-05,0.09
187,187,0.000208174463257,0.09
188,188,8.044692919880635e-05,0.09
189,189,3.012800797501989e-05,0.09
190,190,0.0001842038438604,0.09
191,191,9.56561742629251e-05,0.09
192,192,6.11933108313133e-05,0.09
193,193,0.000145531201761,0.09
194,194,0.000163789750231,0.09
195,195,5.6732698142414e-05,0.09
196,196,0.0003187068892392,0.09
197,197,8.051312937950474e-05,0.09
198,198,0.0002678085833802,0.09
199,199,0.0001186617236641,0.09
200,200,0.0001723665030338,0.08
201,201,0.0002089009309595,0.08
202,202,9.90648869997028e-05,0.08
203,203,0.0001482127458219,0.08
204,204,0.0001239968532105,0.08
205,205,0.0001650335358359,0.08
206,206,0.0001166660764212,0.08
207,207,0.0002893900578778,0.08
208,208,0.0002692543917829,0.08
209,209,0.0001007933433105,0.08
210,210,0.00015537334307,0.08
211,211,0.0002281914746287,0.08
212,212,0.0002093810185483,0.08
213,213,0.0001128978236351,0.08
214,214,0.0002279011641543,0.08
215,215,0.0002081006482746,0.08
216,216,0.0002273738350229,0.08
217,217,0.0002553404305972,0.08
218,218,0.0002912709562101,0.08
219,219,0.0001056269948454,0.08
220,220,0.0001733282899202,0.08
221,221,0.0002306239857774,0.08
222,222,0.0001336096423487,0.08
223,223,0.0002808072350922,0.08
224,224,0.0001004487783204,0.08
225,225,0.000154883154785,0.08
226,226,9.312158820629916e-05,0.08
227,227,0.0003472891291261,0.08
228,228,0.0001705457356584,0.08
229,229,0.0001619022222703,0.08
230,230,0.0002987057561628,0.08
231,231,0.0001082447661878,0.08
232,232,0.000172342340084,0.08
233,233,0.0001553478277349,0.08
234,234,0.0002159995976239,0.08
235,235,0.0002053504429361,0.08
236,236,0.0001549912597666,0.08
237,237,0.0002201466438244,0.08
238,238,0.0001155631901455,0.08
239,239,0.0001484606834426,0.08
240,240,0.0001453033290182,0.08
241,241,0.0002033842220305,0.08
242,242,0.0004274048034039,0.08
243,243,0.0001422272901362,0.08
244,244,0.0002026334200215,0.08
245,245,0.0002690263196042,0.08
246,246,0.0001120422570112,0.08
247,247,0.0002162177919753,0.08
248,248,0.000115734601399,0.08
249,249,0.0003139927233731,0.08
250,250,0.0001603082977389,0.08
251,251,0.0003100275740798,0.08
252,252,8.540951756063925e-05,0.08
253,253,0.0001006561134005,0.08
254,254,0.0001453801331036,0.08
255,255,0.0001515031497662,0.08
256,256,0.0001474911855675,0.08
257,257,0.0003284168276955,0.08
258,258,0.0001503450852568,0.08
259,259,0.0001348648671724,0.08
260,260,0.0001730672192459,0.08
261,261,0.0003559159050072,0.08
262,262,0.0002162754089815,0.08
263,263,0.0001970088271812,0.08
264,264,0.0002340144034633,0.08
265,265,0.0001884732998541,0.08
266,266,0.0001097621707245,0.08
267,267,0.0001434773582483,0.08
268,268,0.0004534891199613,0.08
269,269,0.0001754394012953,0.08
270,270,0.0002785596201766,0.08
271,271,0.0002623319711514,0.08
272,272,0.0001961346103955,0.08
273,273,0.0001970347507695,0.08
274,274,0.0001299584343533,0.08
275,275,0.0002192947027381,0.08
276,276,0.0001642475854258,0.08
277,277,0.0001151132691359,0.08
278,278,0.0001031727670147,0.08
279,279,0.0003284574054502,0.08
280,280,0.0002222321153021,0.08
281,281,9.545480715278478e-05,0.08
282,282,0.0001242440017534,0.08
283,283,4.423626908325739e-05,0.08
284,284,0.0002745135907267,0.08
285,285,0.0007077254081865,0.08
286,286,0.0001434174675297,0.08
287,287,0.0001547043599247,0.08
288,288,0.000398924194249,0.08
289,289,7.375222098730888e-05,0.08
290,290,0.0001798624043746,0.08
291,291,0.0002208603001405,0.08
292,292,0.0001667214678217,0.08
293,293,0.0001520885252614,0.08
294,294,9.476922262970672e-05,0.08
295,295,0.0003352401530806,0.08
296,296,0.0002046199766162,0.08
297,297,0.0001051397528047,0.08
298,298,0.0002839453368945,0.08
299,299,0.000209693142254,0.08
300,300,0.0004501267520954,0.07
301,301,0.0003359532148331,0.07
302,302,0.0001376896832727,0.07
303,303,0.0003811989736277,0.07
304,304,0.0001298749772587,0.07
305,305,0.0003417743839098,0.07
306,306,0.0002809063197336,0.07
307,307,0.0003635509233975,0.07
308,308,0.0004661966524911,0.07
309,309,0.0003597072678992,0.07
310,310,0.0004479858123999,0.07
311,311,0.0003453041948433,0.07
312,312,0.0002109005612513,0.07
313,313,0.0003094479816659,0.07
314,314,0.0001241248970026,0.07
315,315,0.0002842867338262,0.07
316,316,0.0003843679965902,0.07
317,317,0.0006173622776055,0.07
318,318,0.0002271156000336,0.07
319,319,0.0002849337881284,0.07
320,320,0.0004007537662044,0.07
321,321,0.0004844597786471,0.07
322,322,0.0001837219878123,0.07
323,323,0.0004028293755119,0.07
324,324,0.0006225951534018,0.07
325,325,0.000410127194689,0.07
326,326,0.0004218542658448,0.07
327,327,0.000424848446942,0.07
328,328,0.0004371509031023,0.07
329,329,0.0002272040377508,0.07
330,330,0.0004633543932444,0.07
331,331,0.0002044867572924,0.07
332,332,0.000351720376313,0.07
333,333,0.0002608299255198,0.07
334,334,0.0002376215696899,0.07
335,335,0.0007086876819107,0.07
336,336,0.0002388269512227,0.07
337,337,0.0002116113229124,0.07
338,338,0.0004070985762955,0.07
339,339,0.0004280238119932,0.07
340,340,0.000270341386854,0.07
341,341,0.0003580338669766,0.07
342,342,0.0003764073356626,0.07
343,343,0.0006460313787952,0.07
344,344,0.0002937383417857,0.07
345,345,0.0004669477194061,0.07
346,346,0.000121402348703,0.07
347,347,0.0004911735507233,0.07
348,348,0.0010687030684574,0.07
349,349,0.0002608134241175,0.07
350,350,0.0003793254579859,0.07
351,351,0.0001802870659266,0.07
352,352,0.0003332973817765,0.07
353,353,0.000143449170273,0.07
354,354,0.0004411938066815,0.07
355,355,0.0002635785595247,0.07
356,356,0.0004887272713482,0.07
357,357,0.0002880524408662,0.07
358,358,0.0004178721470928,0.07
359,359,0.0003772957137484,0.07
360,360,0.0003443586237871,0.07
361,361,0.0004648280140262,0.07
362,362,0.0001611958031224,0.07
363,363,0.000483696293837,0.07
364,364,0.0005718839994543,0.07
365,365,0.0003081206449804,0.07
366,366,0.0001769042591706,0.07
367,367,0.0003562159296955,0.07
368,368,0.00067302155957,0.07
369,369,0.0003554147691245,0.07
370,370,0.0003394684078976,0.07
371,371,0.000374819920341,0.07
372,372,0.0004933671812605,0.07
373,373,0.0001507318802036,0.07
374,374,0.0003603418323917,0.07
375,375,0.0007036635505824,0.07
376,376,0.0004497412420315,0.07
377,377,0.000263695042148,0.07
378,378,0.0001964184100123,0.07
379,379,0.0006448777285909,0.07
380,380,0.0003189942855156,0.07
381,381,0.000307347940723,0.07
382,382,0.0005585029914923,0.07
383,383,0.0006054703714376,0.07
384,384,0.0003577855679516,0.07
385,385,0.0003911938312228,0.07
386,386,0.0003396641065163,0.07
387,387,0.0006571668665174,0.07
388,388,0.0001732186298009,0.07
389,389,0.0003899954078362,0.07
390,390,0.0006704288756833,0.07
391,391,0.000251338040443,0.07
392,392,0.0001409707993319,0.07
